,Surface_log,Living_log,Number of bedrooms,APARTMENT_BLOCK,BUNGALOW,CASTLE,CHALET,COUNTRY_COTTAGE,EXCEPTIONAL_PROPERTY,FARMHOUSE,HOUSE,MANOR_HOUSE,MANSION,MIXED_USE_BUILDING,OTHER_PROPERTY,TOWN_HOUSE,VILLA,Pool,latitude,longitude,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,HYPER_EQUIPPED,INSTALLED,NOT_INSTALLED,SEMI_EQUIPPED,USA_HYPER_EQUIPPED,USA_INSTALLED,USA_SEMI_EQUIPPED,USA_UNINSTALLED,Furnished,Open fireplace,Terrace,Garden,Price,Price_log
0,5.476463551931511,4.867534450455582,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.59324,5.867828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,296607.0,12.600163309216645
2,7.047517221357296,5.298317366548036,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.7427788,3.9300263,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,299000.0,12.608198852372823
3,6.210600077024653,5.598421958998375,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.346989300000004,4.527624748646935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,300000.0,12.611537753638338
4,5.10594547390058,4.90527477843843,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.5976885,4.3235854,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,195000.0,12.180754837545884
5,5.560681631015528,4.852030263919617,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.2591813,4.9130588,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,175000.0,12.072541252905651
6,6.280395838960195,5.332718793265369,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8064253,3.8361032273588913,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,415000.0,12.936033799212835
7,5.945420608606575,5.332718793265369,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8064253,3.8361032273588913,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,405000.0,12.911642346088676
8,6.2766434893416445,5.332718793265369,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8064253,3.8361032273588913,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,415000.0,12.936033799212835
9,6.124683390894205,5.267858159063328,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0565194,4.3723517,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,415000.0,12.936033799212835
11,6.2766434893416445,5.332718793265369,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8064253,3.8361032273588913,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,415000.0,12.936033799212835
12,4.955827057601261,5.66988092298052,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8390983,4.3296526,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,439000.0,12.992254692057308
13,5.8664680569332965,5.081404364984463,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.844609649999995,3.3093368973972774,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,245000.0,12.409013489526863
14,5.857933154483459,5.278114659230517,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0730461,4.0424143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420000.0,12.948009990259552
15,5.598421958998375,5.267858159063328,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.4392359,3.9619447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,190000.0,12.154779351142624
16,5.480638923341991,5.062595033026967,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.4096511,3.8933015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90000.0,11.407564949312402
17,7.201170883281678,5.521460917862246,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,51.0885745,5.7052955,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,369000.0,12.818551923022664
18,4.770684624465665,5.0106352940962555,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.2888268,4.1758418,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,160000.0,11.982929094215963
19,7.663407664893479,5.181783550292085,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.1048944,3.1606518,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,369000.0,12.818551923022664
20,5.568344503761097,5.087596335232384,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.844609649999995,3.3093368973972774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285000.0,12.560244459250788
21,5.420534999272286,5.655991810819852,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0333408,2.8647185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435000.0,12.983101310070822
22,6.715383386334681,5.3981627015177525,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.210474399999995,4.02404125321308,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,419000.0,12.945626198904275
23,6.163314804034641,5.472270673671475,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.939449,4.1029863,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,525000.0,13.17115354157376
24,4.700480365792417,4.653960350157523,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.6056458,3.3878179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199000.0,12.201060103706629
26,6.802394763324311,6.956545443151569,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8325437,3.478405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1785000.0,14.394928973195876
27,5.1647859739235145,5.1647859739235145,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.2516344,4.4980446,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,324000.0,12.688498794774466
28,4.770684624465665,4.955827057601261,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0312293,4.098112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349000.0,12.762827201184564
29,5.075173815233827,5.241747015059643,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.2085526,3.226772,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,439000.0,12.992254692057308
30,6.343880434126331,5.332718793265369,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8064253,3.8361032273588913,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,415000.0,12.936033799212835
31,5.945420608606575,5.332718793265369,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8064253,3.8361032273588913,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,405000.0,12.911642346088676
32,7.27655640271871,4.442651256490317,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.7514982,5.7872217,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,295000.0,12.594730635321957
33,10.457372665762566,5.91350300563827,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.5332377,3.563666973581828,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1100000.0,13.9108207377686
34,7.5745584842024805,6.52649485957079,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51.4679229,4.4698256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695000.0,14.343193298796688
35,4.624972813284271,4.727387818712341,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.20849,4.4719297,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,325000.0,12.691580461311874
36,7.016609683894219,5.2832037287379885,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0150187,3.2594327,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,289000.0,12.57418196709457
37,5.075173815233827,5.170483995038151,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.6451381,5.5734203,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,299000.0,12.608198852372823
38,6.51471269087253,5.459585514144159,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.747246849999996,5.304934039603534,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,332000.0,12.712890247898626
39,7.080867896690782,5.69035945432406,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51.1646685,4.1395124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,595000.0,13.296316684527767
41,8.987196820661973,5.857933154483459,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0463251,2.9163764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000.0,13.592367006650065
43,5.272999558563747,5.2832037287379885,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.9303735,5.3378043,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268000.0,12.498742259492994
44,6.606650186198215,4.90527477843843,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.8325437,3.478405,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,495000.0,13.112313041550827
45,9.305650551780507,5.703782474656201,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.5131151,3.4155171,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,320000.0,12.676076274775909
47,8.517193191416238,6.551080335043404,18.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51.0108505,4.5143485,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1250000.0,14.038654109278484
50,6.253828811575473,6.1092475827643655,8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4120332,4.4436244,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,550000.0,13.217673557208654
51,7.630461261783627,4.382026634673881,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.4549568,3.951958,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,120000.0,11.695247021764184
54,5.3471075307174685,5.0106352940962555,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.6451381,5.5734203,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,319000.0,12.672946381766982
58,4.718498871295094,4.844187086458591,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0538286,3.7250121,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,319000.0,12.672946381766982
60,5.327876168789581,5.220355825078324,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.2438894,4.4397179,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419000.0,12.945626198904275
62,4.700480365792417,5.342334251964811,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2211097,4.3997081,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375000.0,12.834681304952548
63,4.787491742782046,5.857933154483459,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8676041,4.3737121,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,799000.0,13.591116224748411
64,5.560681631015528,5.043425116919247,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.482944,4.549699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139000.0,11.842229212112828
65,6.684611727667927,5.19295685089021,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.4359066,5.1238439,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295000.0,12.594730635321957
66,7.84971375760487,5.752572638825633,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.85169675,2.891473683275896,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,485000.0,13.091904169919621
67,5.736572297479192,5.135798437050262,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0873789,4.3667216,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,314000.0,12.65714826489039
68,5.575949103146316,5.153291594497779,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.97120755,3.2046502804624204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,255000.0,12.449018824140563
69,5.332718793265369,5.003946305945459,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8128396,3.3331679,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,339000.0,12.733755386362587
70,4.762173934797756,5.1647859739235145,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.12471655,3.5852196649023114,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,389000.0,12.871334622600584
71,5.872117789475416,5.389071729816501,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8121065,3.1864393078698976,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315000.0,12.66032791780777
77,6.492239835020471,4.653960350157523,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.2576962,3.7176064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,215000.0,12.2783933071098
78,3.970291913552122,4.31748811353631,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.144191899999996,2.728191316916685,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,210000.0,12.254862809699606
80,5.777652323222656,4.8283137373023015,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.2258565,2.919496,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,279000.0,12.538967060803502
81,6.391917113392602,5.746203190540153,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8128399,2.9809192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,550000.0,13.217673557208654
82,4.941642422609304,4.820281565605037,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.901520649999995,4.446784480895417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,345000.0,12.751299696013497
84,6.429719478039138,5.680172609017068,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.93434535,3.3468206372996305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,230000.0,12.345834587905333
85,8.143226750367445,5.717027701406222,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8128396,3.3331679,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,645000.0,13.37700559577791
88,8.476371196895983,5.780743515792329,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51.0233485,5.2750485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,699000.0,13.457406021215947
89,6.51471269087253,5.877735781779639,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.9122567,2.9338635,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,195000.0,12.180754837545884
91,5.840641657373398,4.941642422609304,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.2088871,3.4452214,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,275000.0,12.524526376648708
93,5.556828061699537,5.081404364984463,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.1542785,2.961541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199000.0,12.201060103706629
98,7.166265974133638,5.768320995793772,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.9604886,4.4975514,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,693000.0,13.448785278172041
100,5.017279836814924,4.74493212836325,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.00303,3.7988833,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,325000.0,12.691580461311874
101,5.375278407684165,5.075173815233827,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.7427937,5.2629291,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,295000.0,12.594730635321957
102,5.375278407684165,5.075173815233827,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.7427937,5.2629291,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,289000.0,12.57418196709457
104,5.375278407684165,5.075173815233827,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.7427937,5.2629291,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,292000.0,12.584509081250419
105,4.465908118654584,5.62040086571715,5.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.2211097,4.3997081,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,639000.0,13.367659733359671
106,6.970730078143525,5.220355825078324,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8370253,4.4274636,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,950000.0,13.764217263576723
107,6.349138991379798,4.532599493153256,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.0150603,2.722044376111538,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146000.0,11.891361900690473
109,5.872117789475416,4.787491742782046,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50.4509843,4.2523562,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,165000.0,12.013700752882718
110,4.605170185988092,5.0106352940962555,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.8440554,4.4871796,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1085000.0,13.897090544956697
111,6.075346031088684,5.66988092298052,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.8440554,4.4871796,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1075000.0,13.8878312195439
112,6.018593214496234,5.204006687076795,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,51.23894075,2.9724492877781263,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,525000.0,13.17115354157376
114,4.969813299576001,5.402677381872279,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2211097,4.3997081,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,540000.0,13.199324418540456
115,4.30406509320417,5.135798437050262,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8508197,4.3691634,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,450000.0,13.017002861746503
116,4.30406509320417,5.135798437050262,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8508197,4.3691634,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,450000.0,13.017002861746503
117,5.209486152841421,5.14166355650266,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8276429,3.2659884,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209000.0,12.250089530946948
118,6.068425588244111,5.135798437050262,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.4756986,5.5748498,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,215000.0,12.2783933071098
119,7.8713112033234065,5.616771097666572,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.4212957,4.8633768,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,600000.0,13.304684934198283
120,5.680172609017068,4.867534450455582,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.3141612,4.194796,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,155000.0,11.951180395901384
122,6.885509670034818,4.787491742782046,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.3212094,4.6584949,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,250000.0,12.429216196844383
123,7.085064293952548,5.560681631015528,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.6607788,5.9732784,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,360000.0,12.793859310432293
124,6.684611727667927,5.0106352940962555,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.5976885,4.3235854,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,350000.0,12.765688433465597
125,4.700480365792417,4.727387818712341,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.4759358,3.9545894,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,150000.0,11.918390573078392
126,6.984716320118266,5.627621113690637,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.3287642,4.0705909,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,75000.0,11.225243392518447
127,5.662960480135946,4.836281906951478,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.9444948,3.124765,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,210000.0,12.254862809699606
128,5.834810737062605,5.272999558563747,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.834125,3.7638335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,156000.0,11.957611286231675
129,7.600902459542082,7.1308988302963465,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51.4679229,4.4698256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695000.0,14.343193298796688
130,7.313220387090301,5.0106352940962555,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.6860037,4.4844157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,595000.0,13.296316684527767
131,5.857933154483459,4.90527477843843,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.6134362,5.6569569,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,179000.0,12.095141084822892
132,5.8289456176102075,4.7535901911063645,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.5961254,3.7505822,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,120500.0,11.699405031912846
134,9.2596066132791,5.5053315359323625,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50.9482356,2.785711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372000.0,12.826649133255284
135,5.602118820879701,4.836281906951478,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.8600026,5.3865719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165000.0,12.013700752882718
136,5.8522024797744745,4.382026634673881,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.2631919,4.1520931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75000.0,11.225243392518447
137,6.551080335043404,5.799092654460526,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50.883392,4.3487134,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,765000.0,13.547631112808673
138,4.605170185988092,4.941642422609304,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.4653846,4.4301757,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,135000.0,11.813030057420567
140,6.07993319509559,5.241747015059643,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51.09096325,4.238967723449794,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,599000.0,13.303016877097587
143,7.29641326877392,5.10594547390058,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.7863579,3.8409061,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,279000.0,12.538967060803502
144,11.277038560946151,5.521460917862246,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49.7579629,5.7283721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,950000.0,13.764217263576723
